token_type,token_address,receiver,amount,id
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x619e71ec0d528520961571Dcea6f13f8B63410E3,10000000,marks-0x619e71ec0d528520961571dcea6f13f8b63410e3
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xd1ae4d9205f07333916f628850fc79f1366dc2f8,2634918,marks-0xd1ae4d9205f07333916f628850fc79f1366dc2f8
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xb9ab9578a34a05c86124c399735fde44dec80e7f,2029745,marks-0xb9ab9578a34a05c86124c399735fde44dec80e7f
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x1a9152528AEFbcD9E5df4E0770f4F510e7056913,1318879,marks-0x1a9152528aefbcd9e5df4e0770f4f510e7056913
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x754Ba099408892F500e3675b9816ea1B0dc33CBb,1254666,marks-0x754ba099408892f500e3675b9816ea1b0dc33cbb
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x2880a6bb2cD1DF6E03dC8BbFBEd009DE586c2603,864738,marks-0x2880a6bb2cd1df6e03dc8bbfbed009de586c2603
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x13F210c8bAf5f5DBAFf3E917E2e5A49E73BBAF12,751177,marks-0x13f210c8baf5f5dbaff3e917e2e5a49e73bbaf12
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xaa17879e7cac3AEE12D6aa568691e638EF0C57f0,463372,marks-0xaa17879e7cac3aee12d6aa568691e638ef0c57f0
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xee517179cef2e52af9d52667c7c9a43a5093f775,440201,marks-0xee517179cef2e52af9d52667c7c9a43a5093f775
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xdc9cdd31bc0f598e6b2c8302312b40852f636e60,369523,marks-0xdc9cdd31bc0f598e6b2c8302312b40852f636e60
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xDC1330EF8dc913C39bd29F9523418eEEacEf03D6,235732,marks-0xdc1330ef8dc913c39bd29f9523418eeeacef03d6
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xCA0073964efe7f9422CeB16901018b1DB0cC4785,225805,marks-0xca0073964efe7f9422ceb16901018b1db0cc4785
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x0e4d5032c0B076cB132a10347d940BfBB8354869,186862,marks-0x0e4d5032c0b076cb132a10347d940bfbb8354869
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xbA26035B9CD76cdA5b767A966b8A3392E476Fc0F,175836,marks-0xba26035b9cd76cda5b767a966b8a3392e476fc0f
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xf7e9CAaaEEb6cC9657E1Dd490F044114AecC31B2,170703,marks-0xf7e9caaaeeb6cc9657e1dd490f044114aecc31b2
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xe81003515b5c537cd4ee57a41dbecf01ff429135,164271,marks-0xe81003515b5c537cd4ee57a41dbecf01ff429135
