token_type,token_address,receiver,amount,id
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xbba953fd09825a7a3e611ce36903c1e94d7c8b46,10000000,vebao-0xbba953fd09825a7a3e611ce36903c1e94d7c8b46
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113,4403464,vebao-0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xd1ae4d9205f07333916f628850fc79f1366dc2f8,4381645,vebao-0xd1ae4d9205f07333916f628850fc79f1366dc2f8
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x4bb7fba588b4254536de4316e8fb346bbe275ecb,3482685,vebao-0x4bb7fba588b4254536de4316e8fb346bbe275ecb
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x6e50791a8fb507c9daf34c302532c782d171ed98,2852030,vebao-0x6e50791a8fb507c9daf34c302532c782d171ed98
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x2c06d15cba87c71c206c64b8f11926ba3f476af7,2012648,vebao-0x2c06d15cba87c71c206c64b8f11926ba3f476af7
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x2ccb1cb25695af8f4ff38352c2696a0af8297d01,1936777,vebao-0x2ccb1cb25695af8f4ff38352c2696a0af8297d01
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x343537cb9417f8953101c48daba965a99d09a39e,1934250,vebao-0x343537cb9417f8953101c48daba965a99d09a39e
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x8d03c7c829719c6210144658fd9b565226c4a287,1615650,vebao-0x8d03c7c829719c6210144658fd9b565226c4a287
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x7bb430a12acc8c6070fc1a79cb2052ba4a89f5d3,1614800,vebao-0x7bb430a12acc8c6070fc1a79cb2052ba4a89f5d3
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x0d66abb57fc0fda1cc0646b72490958496edae06,1249863,vebao-0x0d66abb57fc0fda1cc0646b72490958496edae06
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x40e7573575ed2eb406c94add635659309dc50065,1137439,vebao-0x40e7573575ed2eb406c94add635659309dc50065
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x35827ce7ba928d517a9e4025600f60e1238163d7,1046207,vebao-0x35827ce7ba928d517a9e4025600f60e1238163d7
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xb9ab9578a34a05c86124c399735fde44dec80e7f,927642,vebao-0xb9ab9578a34a05c86124c399735fde44dec80e7f
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x3e04f61a589210dbdfcdaa77ede41bac9af137bd,909409,vebao-0x3e04f61a589210dbdfcdaa77ede41bac9af137bd
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x5de79e0c5632056b9fb19a740ce0f3ef03adeeb3,447177,vebao-0x5de79e0c5632056b9fb19a740ce0f3ef03adeeb3
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xc88c7806ea31a88f31d094243b48670b58c2cf42,357075,vebao-0xc88c7806ea31a88f31d094243b48670b58c2cf42
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xcc1e0a566dbd10869c071c811aba436357858f05,314441,vebao-0xcc1e0a566dbd10869c071c811aba436357858f05
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xcda3099ecd354f6603dce7db6988dd18a9a17887,314359,vebao-0xcda3099ecd354f6603dce7db6988dd18a9a17887
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x2f5e08ef5a99a98336519e54f58d503f550bd9ac,273747,vebao-0x2f5e08ef5a99a98336519e54f58d503f550bd9ac
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x76a8d26b61495a4a8f60e08be83912194a820a5c,266115,vebao-0x76a8d26b61495a4a8f60e08be83912194a820a5c
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x60ff4545c6e674fd182990f7a66143002fa3a03c,239628,vebao-0x60ff4545c6e674fd182990f7a66143002fa3a03c
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xea8f946166fd935d1a8a0ffb77b1ff810d6025d6,224910,vebao-0xea8f946166fd935d1a8a0ffb77b1ff810d6025d6
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xab89b23a599ceb927c4e72f5e45b5a2e17d07657,221846,vebao-0xab89b23a599ceb927c4e72f5e45b5a2e17d07657
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,216395,vebao-0xcba1a275e2d858ecffaf7a87f606f74b719a8a93
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x8f6485f44c56e9a8f496e1589d27bc8256233e0d,210496,vebao-0x8f6485f44c56e9a8f496e1589d27bc8256233e0d
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xc0e5e14bdecd9ed6954a9e14c74e97cebd91bb94,207948,vebao-0xc0e5e14bdecd9ed6954a9e14c74e97cebd91bb94
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xb81d7892fa8605a55885592e5c78a294754d272a,195110,vebao-0xb81d7892fa8605a55885592e5c78a294754d272a
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x32a59b87352e980dd6ab1baf462696d28e63525d,171847,vebao-0x32a59b87352e980dd6ab1baf462696d28e63525d
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,170080,vebao-0xbd9e322303fa0ee764d8efb497ca4b81589a281a
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x99d3e7b633cf4a8c9654e4a9c71d79f2723bc8bb,166397,vebao-0x99d3e7b633cf4a8c9654e4a9c71d79f2723bc8bb
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x192e29c7e4333f98373cd3e3679625cf8fe654bb,165826,vebao-0x192e29c7e4333f98373cd3e3679625cf8fe654bb
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xc240df49a7550c781ed935bc5898448aedaa33dc,160483,vebao-0xc240df49a7550c781ed935bc5898448aedaa33dc
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x98e917437041f213472c02835cddc39356086618,156674,vebao-0x98e917437041f213472c02835cddc39356086618
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x0c4085d8e714ca77ac5f46cd2b80a92d238a7cd3,143432,vebao-0x0c4085d8e714ca77ac5f46cd2b80a92d238a7cd3
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xffc3bc63ecf6d2b868adef1d9da7b7980352d987,126432,vebao-0xffc3bc63ecf6d2b868adef1d9da7b7980352d987
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xe81003515b5c537cd4ee57a41dbecf01ff429135,125381,vebao-0xe81003515b5c537cd4ee57a41dbecf01ff429135
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xee517179cef2e52af9d52667c7c9a43a5093f775,125134,vebao-0xee517179cef2e52af9d52667c7c9a43a5093f775
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x518832e61536567c07a5e8cb0cdcc1e922290172,122253,vebao-0x518832e61536567c07a5e8cb0cdcc1e922290172
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x1f130db404cf640848a83b5d5022fbbb7501a5ab,118573,vebao-0x1f130db404cf640848a83b5d5022fbbb7501a5ab
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x787a7da17544bcc3a0febcd2c24c831ea55ae83f,109503,vebao-0x787a7da17544bcc3a0febcd2c24c831ea55ae83f
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x2c86d7a672d3298a3f89116dd73757d969c71956,109301,vebao-0x2c86d7a672d3298a3f89116dd73757d969c71956
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xc52fd3cd06d41020f91c31f84519247d06ac8598,108003,vebao-0xc52fd3cd06d41020f91c31f84519247d06ac8598
